N,M,L,NUM_THREADS,OMP_TIME_mean,OMP_TIME_std,TBB_TIME_mean,TBB_TIME_std
655,655,5205,0,0.0,0.0,9.429439,0.2137088556086428
655,655,5205,1,6.881398,0.18015604561971618,7.782074,0.2522393139769362
655,655,5205,2,4.445501,0.30231040851894075,4.465646,0.2593910039217929
655,655,5205,3,3.677989,0.15204681760343872,3.5940949999999994,0.18481569565681139
655,655,5205,4,2.7411320000000003,0.08619123322266867,2.436674,0.10668589964105954
655,655,5205,5,2.452657,0.08829479172383597,2.130781,0.060567299473854475
655,655,5205,6,2.0429519999999997,0.09606902909424604,1.7216049999999998,0.0613805174030544
655,655,5205,7,1.780401,0.08147887980602363,1.5256349999999999,0.04402248926527344
655,655,5205,8,1.55586,0.04814005147022125,1.328308,0.01931544333198468
655,655,5205,9,1.4299399999999998,0.06566079686117464,1.159777,0.046484421536204495
655,655,5205,10,1.301551,0.04781964553286525,1.069899,0.01807153652078933
655,655,5205,11,1.2052569999999998,0.04860683080711094,0.9904388,0.0344140644110644
655,655,5205,12,1.102459,0.06732917453328338,0.9181495,0.03602931748281918
655,655,5205,13,1.0716004,0.05296557617337677,0.8539308999999999,0.014940573783790542
655,655,5205,14,0.9927603999999999,0.05418899017369156,0.8050881999999999,0.03651556370706117
655,655,5205,15,0.9768486,0.04852317371501764,0.7745152,0.018026955882788416
655,655,5205,16,0.9285412,0.05567299588330255,0.7337826999999999,0.032027247340871055
655,1305,2605,0,0.0,0.0,8.969498000000002,0.14694144765858247
655,1305,2605,1,6.868391,0.16660323169134497,7.735860000000001,0.18388762734041977
655,1305,2605,2,4.483919,0.41791264117569416,4.495415,0.2065871308377599
655,1305,2605,3,3.591805,0.13203484491687115,3.6945390000000002,0.1527290036087885
655,1305,2605,4,2.8098520000000002,0.11815061384144855,2.4797219999999998,0.13184262350747325
655,1305,2605,5,2.4145589999999997,0.0959189777827562,2.139496,0.07736639152615166
655,1305,2605,6,2.0080829999999996,0.0639902624623466,1.7108640000000002,0.048141572286561476
655,1305,2605,7,1.763992,0.09463766008659907,1.515323,0.03563365046631561
655,1305,2605,8,1.599345,0.11586566937142723,1.2919379999999998,0.04678616386164706
655,1305,2605,9,1.459428,0.04312192579702857,1.1677650000000002,0.04664570130247805
655,1305,2605,10,1.3060960000000001,0.05232231735438842,1.065381,0.024365774014657053
655,1305,2605,11,1.211767,0.04651136087022184,0.9968612,0.013858759635054707
655,1305,2605,12,1.0998520000000003,0.042624776780125835,0.9052854,0.03683294042988022
655,1305,2605,13,1.0471602,0.04910521325978422,0.8485429,0.017739290142693636
655,1305,2605,14,1.0025571,0.05684278152051396,0.7959015,0.01939553111329172
655,1305,2605,15,0.9096230000000001,0.07126662075458459,0.7652674,0.019971845478628732
655,1305,2605,16,0.8891314999999999,0.057042083718465635,0.7253610000000001,0.016123716320997464
1305,655,2605,0,0.0,0.0,8.982626,0.12349403343211907
1305,655,2605,1,6.857277999999999,0.1817766084939304,7.763566,0.22134598177714682
1305,655,2605,2,4.522698999999999,0.3514601165439843,4.423521,0.1403071529379581
1305,655,2605,3,3.5483580000000003,0.08982277239096989,3.616053000000001,0.10053851722377638
1305,655,2605,4,2.8512399999999998,0.10805643134749336,2.454083,0.10866237865261583
1305,655,2605,5,2.4181630000000003,0.07977738485588788,2.126027,0.05361277066976589
1305,655,2605,6,2.052424,0.04572245866821553,1.727291,0.06132047699495575
1305,655,2605,7,1.742509,0.0715822259828979,1.497537,0.019804200480369447
1305,655,2605,8,1.5680979999999998,0.06319580028240275,1.300342,0.025102882437414726
1305,655,2605,9,1.4268480000000001,0.053457254948853006,1.170118,0.021866815446648313
1305,655,2605,10,1.2875359999999998,0.05966296193340269,1.053658,0.020772200867719588
1305,655,2605,11,1.166448,0.06956404735525706,0.9557300999999999,0.02487537061901452
1305,655,2605,12,1.1100921,0.07748869312278904,0.8913107,0.02063664058604928
1305,655,2605,13,1.0185418,0.05174033384507681,0.8315724999999998,0.01765705151081449
1305,655,2605,14,0.9863101000000001,0.050447891484294134,0.792467,0.019086819815429337
1305,655,2605,15,0.9221005999999999,0.07471964743284652,0.7476195,0.021551884358192212
1305,655,2605,16,0.8975004999999999,0.06132029326096794,0.7122233,0.0255968877233585
